pref_code,hour,vehicle_type,direction,traffic_volume
24000,0,1,1,7835
24000,1,1,1,5188
24000,2,1,1,4326
24000,3,1,1,4675
24000,4,1,1,7666
24000,5,1,1,18822
24000,6,1,1,58868
24000,7,1,1,222208
24000,8,1,1,192176
24000,9,1,1,153559
24000,10,1,1,150760
24000,11,1,1,147767
24000,12,1,1,145197
24000,13,1,1,149245
24000,14,1,1,159139
24000,15,1,1,178494
24000,16,1,1,190303
24000,17,1,1,222279
24000,18,1,1,178827
24000,19,1,1,60057
24000,20,1,1,40678
24000,21,1,1,27894
24000,22,1,1,18044
24000,23,1,1,11821
24000,0,1,2,8484
24000,1,1,2,5921
24000,2,1,2,4974
24000,3,1,2,5631
24000,4,1,2,8332
24000,5,1,2,16283
24000,6,1,2,54177
24000,7,1,2,222729
24000,8,1,2,193851
24000,9,1,2,156903
24000,10,1,2,153828
24000,11,1,2,151015
24000,12,1,2,146282
24000,13,1,2,145181
24000,14,1,2,151674
24000,15,1,2,165988
24000,16,1,2,178155
24000,17,1,2,215553
24000,18,1,2,177518
24000,19,1,2,65414
24000,20,1,2,45135
24000,21,1,2,30709
24000,22,1,2,20372
24000,23,1,2,12893
24000,0,2,1,15366
24000,1,2,1,12475
24000,2,2,1,12458
24000,3,2,1,14116
24000,4,2,1,17136
24000,5,2,1,21521
24000,6,2,1,24678
24000,7,2,1,34295
24000,8,2,1,38407
24000,9,2,1,46246
24000,10,2,1,48654
24000,11,2,1,45755
24000,12,2,1,39995
24000,13,2,1,40719
24000,14,2,1,41341
24000,15,2,1,39755
24000,16,2,1,36254
24000,17,2,1,30774
24000,18,2,1,27623
24000,19,2,1,23826
24000,20,2,1,23122
24000,21,2,1,21154
24000,22,2,1,20478
24000,23,2,1,22110
24000,0,2,2,22409
24000,1,2,2,24210
24000,2,2,2,26210
24000,3,2,2,25959
24000,4,2,2,27222
24000,5,2,2,26423
24000,6,2,2,27824
24000,7,2,2,33126
24000,8,2,2,37680
24000,9,2,2,45725
24000,10,2,2,47983
24000,11,2,2,44101
24000,12,2,2,37383
24000,13,2,2,36599
24000,14,2,2,37553
24000,15,2,2,34263
24000,16,2,2,30775
24000,17,2,2,23670
24000,18,2,2,18819
24000,19,2,2,14285
24000,20,2,2,15156
24000,21,2,2,16496
24000,22,2,2,19117
24000,23,2,2,21055
