pref_code,hour,vehicle_type,direction,traffic_volume
21000,0,1,1,4003
21000,1,1,1,2817
21000,2,1,1,2549
21000,3,1,1,2750
21000,4,1,1,4262
21000,5,1,1,11064
21000,6,1,1,39459
21000,7,1,1,303666
21000,8,1,1,257184
21000,9,1,1,204659
21000,10,1,1,200621
21000,11,1,1,197111
21000,12,1,1,191944
21000,13,1,1,194467
21000,14,1,1,205270
21000,15,1,1,225363
21000,16,1,1,237016
21000,17,1,1,287381
21000,18,1,1,241115
21000,19,1,1,36718
21000,20,1,1,24093
21000,21,1,1,16315
21000,22,1,1,10031
21000,23,1,1,5914
21000,0,1,2,4550
21000,1,1,2,3224
21000,2,1,2,2534
21000,3,1,2,2811
21000,4,1,2,3997
21000,5,1,2,8712
21000,6,1,2,31213
21000,7,1,2,298213
21000,8,1,2,251818
21000,9,1,2,198052
21000,10,1,2,197258
21000,11,1,2,195424
21000,12,1,2,192371
21000,13,1,2,192700
21000,14,1,2,201735
21000,15,1,2,217643
21000,16,1,2,230859
21000,17,1,2,282388
21000,18,1,2,248901
21000,19,1,2,41557
21000,20,1,2,28349
21000,21,1,2,19225
21000,22,1,2,12596
21000,23,1,2,7062
21000,0,2,1,7223
21000,1,2,1,5646
21000,2,2,1,5571
21000,3,2,1,6005
21000,4,2,1,7002
21000,5,2,1,8441
21000,6,2,1,10668
21000,7,2,1,30111
21000,8,2,1,36760
21000,9,2,1,42666
21000,10,2,1,42872
21000,11,2,1,40892
21000,12,2,1,35439
21000,13,2,1,39150
21000,14,2,1,39958
21000,15,2,1,36889
21000,16,2,1,33288
21000,17,2,1,25300
21000,18,2,1,19399
21000,19,2,1,9298
21000,20,2,1,9025
21000,21,2,1,9197
21000,22,2,1,9419
21000,23,2,1,9327
21000,0,2,2,8163
21000,1,2,2,8496
21000,2,2,2,8637
21000,3,2,2,9009
21000,4,2,2,9385
21000,5,2,2,10205
21000,6,2,2,12349
21000,7,2,2,31619
21000,8,2,2,36425
21000,9,2,2,42441
21000,10,2,2,42997
21000,11,2,2,40177
21000,12,2,2,34263
21000,13,2,2,38728
21000,14,2,2,39358
21000,15,2,2,36372
21000,16,2,2,32188
21000,17,2,2,24302
21000,18,2,2,17846
21000,19,2,2,7654
21000,20,2,2,7552
21000,21,2,2,7925
21000,22,2,2,8570
21000,23,2,2,8823
