pref_code,hour,vehicle_type,direction,traffic_volume
28000,0,1,1,21490
28000,1,1,1,15342
28000,2,1,1,12716
28000,3,1,1,13622
28000,4,1,1,18613
28000,5,1,1,47146
28000,6,1,1,159111
28000,7,1,1,659809
28000,8,1,1,598363
28000,9,1,1,484285
28000,10,1,1,466526
28000,11,1,1,455723
28000,12,1,1,452578
28000,13,1,1,462859
28000,14,1,1,494464
28000,15,1,1,540816
28000,16,1,1,577960
28000,17,1,1,665044
28000,18,1,1,570888
28000,19,1,1,167075
28000,20,1,1,113332
28000,21,1,1,74927
28000,22,1,1,49014
28000,23,1,1,29383
28000,0,1,2,24281
28000,1,1,2,17260
28000,2,1,2,13484
28000,3,1,2,13873
28000,4,1,2,20219
28000,5,1,2,48125
28000,6,1,2,169066
28000,7,1,2,658023
28000,8,1,2,602722
28000,9,1,2,490029
28000,10,1,2,476387
28000,11,1,2,468384
28000,12,1,2,459492
28000,13,1,2,463515
28000,14,1,2,476507
28000,15,1,2,509079
28000,16,1,2,547200
28000,17,1,2,650381
28000,18,1,2,582100
28000,19,1,2,167112
28000,20,1,2,122810
28000,21,1,2,83495
28000,22,1,2,56302
28000,23,1,2,35548
28000,0,2,1,32605
28000,1,2,1,30472
28000,2,2,1,29561
28000,3,2,1,34122
28000,4,2,1,41190
28000,5,2,1,51586
28000,6,2,1,56441
28000,7,2,1,91754
28000,8,2,1,108820
28000,9,2,1,136520
28000,10,2,1,140837
28000,11,2,1,132643
28000,12,2,1,116138
28000,13,2,1,115966
28000,14,2,1,119124
28000,15,2,1,110350
28000,16,2,1,94880
28000,17,2,1,75451
28000,18,2,1,59780
28000,19,2,1,38419
28000,20,2,1,38415
28000,21,2,1,35493
28000,22,2,1,33306
28000,23,2,1,31365
28000,0,2,2,30004
28000,1,2,2,28832
28000,2,2,2,30970
28000,3,2,2,36169
28000,4,2,2,46233
28000,5,2,2,63234
28000,6,2,2,67441
28000,7,2,2,95522
28000,8,2,2,106695
28000,9,2,2,131591
28000,10,2,2,135516
28000,11,2,2,130911
28000,12,2,2,113708
28000,13,2,2,112221
28000,14,2,2,115187
28000,15,2,2,108947
28000,16,2,2,96704
28000,17,2,2,75982
28000,18,2,2,60506
28000,19,2,2,40366
28000,20,2,2,40164
28000,21,2,2,39341
28000,22,2,2,36557
28000,23,2,2,31296
