pref_code,hour,vehicle_type,direction,traffic_volume
33000,0,1,1,8508
33000,1,1,1,6935
33000,2,1,1,6303
33000,3,1,1,6152
33000,4,1,1,8852
33000,5,1,1,20245
33000,6,1,1,62153
33000,7,1,1,329371
33000,8,1,1,288291
33000,9,1,1,240161
33000,10,1,1,230995
33000,11,1,1,229253
33000,12,1,1,227375
33000,13,1,1,227382
33000,14,1,1,235390
33000,15,1,1,251914
33000,16,1,1,272504
33000,17,1,1,331576
33000,18,1,1,287711
33000,19,1,1,64961
33000,20,1,1,43685
33000,21,1,1,30272
33000,22,1,1,20070
33000,23,1,1,12923
33000,0,1,2,10033
33000,1,1,2,7354
33000,2,1,2,6286
33000,3,1,2,6751
33000,4,1,2,9290
33000,5,1,2,21341
33000,6,1,2,59866
33000,7,1,2,334670
33000,8,1,2,290971
33000,9,1,2,239084
33000,10,1,2,233718
33000,11,1,2,230661
33000,12,1,2,229066
33000,13,1,2,227619
33000,14,1,2,231311
33000,15,1,2,243553
33000,16,1,2,263092
33000,17,1,2,317083
33000,18,1,2,281979
33000,19,1,2,66895
33000,20,1,2,47570
33000,21,1,2,32050
33000,22,1,2,20730
33000,23,1,2,13594
33000,0,2,1,15447
33000,1,2,1,15032
33000,2,2,1,15396
33000,3,2,1,15596
33000,4,2,1,15212
33000,5,2,1,15352
33000,6,2,1,16679
33000,7,2,1,30638
33000,8,2,1,39356
33000,9,2,1,51103
33000,10,2,1,53805
33000,11,2,1,50457
33000,12,2,1,41779
33000,13,2,1,44351
33000,14,2,1,44924
33000,15,2,1,42051
33000,16,2,1,37420
33000,17,2,1,27654
33000,18,2,1,21990
33000,19,2,1,15642
33000,20,2,1,16380
33000,21,2,1,16753
33000,22,2,1,16469
33000,23,2,1,15706
33000,0,2,2,15556
33000,1,2,2,13965
33000,2,2,2,13727
33000,3,2,2,14609
33000,4,2,2,17130
33000,5,2,2,21095
33000,6,2,2,21879
33000,7,2,2,35449
33000,8,2,2,40539
33000,9,2,2,46149
33000,10,2,2,47111
33000,11,2,2,43651
33000,12,2,2,39543
33000,13,2,2,41807
33000,14,2,2,42280
33000,15,2,2,39983
33000,16,2,2,36353
33000,17,2,2,28834
33000,18,2,2,23901
33000,19,2,2,17200
33000,20,2,2,18242
33000,21,2,2,18422
33000,22,2,2,18240
33000,23,2,2,17355
