pref_code,hour,vehicle_type,direction,traffic_volume
2000,0,1,1,1703
2000,1,1,1,1284
2000,2,1,1,1080
2000,3,1,1,1335
2000,4,1,1,2044
2000,5,1,1,4355
2000,6,1,1,15193
2000,7,1,1,142124
2000,8,1,1,117672
2000,9,1,1,96531
2000,10,1,1,94773
2000,11,1,1,93513
2000,12,1,1,88411
2000,13,1,1,90764
2000,14,1,1,93933
2000,15,1,1,100096
2000,16,1,1,113443
2000,17,1,1,141275
2000,18,1,1,103343
2000,19,1,1,17247
2000,20,1,1,10590
2000,21,1,1,7079
2000,22,1,1,4828
2000,23,1,1,2604
2000,0,1,2,1766
2000,1,1,2,1315
2000,2,1,2,1143
2000,3,1,2,1395
2000,4,1,2,2028
2000,5,1,2,5065
2000,6,1,2,16145
2000,7,1,2,141796
2000,8,1,2,116018
2000,9,1,2,94683
2000,10,1,2,95270
2000,11,1,2,95353
2000,12,1,2,88561
2000,13,1,2,92627
2000,14,1,2,95585
2000,15,1,2,103371
2000,16,1,2,115804
2000,17,1,2,145467
2000,18,1,2,106749
2000,19,1,2,16825
2000,20,1,2,10545
2000,21,1,2,7108
2000,22,1,2,4456
2000,23,1,2,2453
2000,0,2,1,832
2000,1,2,1,771
2000,2,2,1,1009
2000,3,2,1,1224
2000,4,2,1,1718
2000,5,2,1,2670
2000,6,2,1,3776
2000,7,2,1,14673
2000,8,2,1,17402
2000,9,2,1,18736
2000,10,2,1,18251
2000,11,2,1,16136
2000,12,2,1,11000
2000,13,2,1,14638
2000,14,2,1,14966
2000,15,2,1,13973
2000,16,2,1,12483
2000,17,2,1,7836
2000,18,2,1,5128
2000,19,2,1,1544
2000,20,2,1,989
2000,21,2,1,942
2000,22,2,1,980
2000,23,2,1,701
2000,0,2,2,1207
2000,1,2,2,1025
2000,2,2,2,1160
2000,3,2,2,1500
2000,4,2,2,2206
2000,5,2,2,3199
2000,6,2,2,4263
2000,7,2,2,14119
2000,8,2,2,16768
2000,9,2,2,17731
2000,10,2,2,16951
2000,11,2,2,15128
2000,12,2,2,10328
2000,13,2,2,14377
2000,14,2,2,14698
2000,15,2,2,13611
2000,16,2,2,12053
2000,17,2,2,7786
2000,18,2,2,5119
2000,19,2,2,1427
2000,20,2,2,1115
2000,21,2,2,935
2000,22,2,2,776
2000,23,2,2,983
