pref_code,hour,vehicle_type,direction,traffic_volume
44000,0,1,1,1608
44000,1,1,1,1190
44000,2,1,1,933
44000,3,1,1,883
44000,4,1,1,1369
44000,5,1,1,3675
44000,6,1,1,14953
44000,7,1,1,161351
44000,8,1,1,136963
44000,9,1,1,118134
44000,10,1,1,120149
44000,11,1,1,119375
44000,12,1,1,115404
44000,13,1,1,118671
44000,14,1,1,123640
44000,15,1,1,132079
44000,16,1,1,143643
44000,17,1,1,175483
44000,18,1,1,138687
44000,19,1,1,16873
44000,20,1,1,10204
44000,21,1,1,7104
44000,22,1,1,4405
44000,23,1,1,2671
44000,0,1,2,1842
44000,1,1,2,1262
44000,2,1,2,1012
44000,3,1,2,929
44000,4,1,2,1474
44000,5,1,2,3413
44000,6,1,2,13660
44000,7,1,2,171447
44000,8,1,2,143640
44000,9,1,2,119781
44000,10,1,2,121439
44000,11,1,2,119552
44000,12,1,2,113383
44000,13,1,2,117546
44000,14,1,2,119852
44000,15,1,2,126968
44000,16,1,2,135929
44000,17,1,2,165789
44000,18,1,2,132646
44000,19,1,2,16291
44000,20,1,2,10361
44000,21,1,2,7244
44000,22,1,2,4847
44000,23,1,2,2795
44000,0,2,1,1076
44000,1,2,1,999
44000,2,2,1,1099
44000,3,2,1,1274
44000,4,2,1,1482
44000,5,2,1,1809
44000,6,2,1,3101
44000,7,2,1,14125
44000,8,2,1,17458
44000,9,2,1,20134
44000,10,2,1,20964
44000,11,2,1,18804
44000,12,2,1,14778
44000,13,2,1,16904
44000,14,2,1,17346
44000,15,2,1,15844
44000,16,2,1,14128
44000,17,2,1,10123
44000,18,2,1,6548
44000,19,2,1,2016
44000,20,2,1,1678
44000,21,2,1,1353
44000,22,2,1,1368
44000,23,2,1,1179
44000,0,2,2,1375
44000,1,2,2,1416
44000,2,2,2,1805
44000,3,2,2,2011
44000,4,2,2,2642
44000,5,2,2,3455
44000,6,2,2,4247
44000,7,2,2,15074
44000,8,2,2,17434
44000,9,2,2,18833
44000,10,2,2,18941
44000,11,2,2,16881
44000,12,2,2,13236
44000,13,2,2,15377
44000,14,2,2,15578
44000,15,2,2,14475
44000,16,2,2,12139
44000,17,2,2,8625
44000,18,2,2,5697
44000,19,2,2,1802
44000,20,2,2,1405
44000,21,2,2,1219
44000,22,2,2,1116
44000,23,2,2,1495
