pref_code,hour,vehicle_type,direction,traffic_volume
25000,0,1,1,4657
25000,1,1,1,3259
25000,2,1,1,2626
25000,3,1,1,2912
25000,4,1,1,4501
25000,5,1,1,8638
25000,6,1,1,33853
25000,7,1,1,230492
25000,8,1,1,204808
25000,9,1,1,157786
25000,10,1,1,152695
25000,11,1,1,151855
25000,12,1,1,148581
25000,13,1,1,149382
25000,14,1,1,149703
25000,15,1,1,161247
25000,16,1,1,172103
25000,17,1,1,207416
25000,18,1,1,185917
25000,19,1,1,31905
25000,20,1,1,23224
25000,21,1,1,16688
25000,22,1,1,11780
25000,23,1,1,7407
25000,0,1,2,5004
25000,1,1,2,3725
25000,2,1,2,2756
25000,3,1,2,2768
25000,4,1,2,3976
25000,5,1,2,8081
25000,6,1,2,25333
25000,7,1,2,226395
25000,8,1,2,199771
25000,9,1,2,150490
25000,10,1,2,146553
25000,11,1,2,146556
25000,12,1,2,146492
25000,13,1,2,149817
25000,14,1,2,157077
25000,15,1,2,175025
25000,16,1,2,187489
25000,17,1,2,222717
25000,18,1,2,193205
25000,19,1,2,38489
25000,20,1,2,27275
25000,21,1,2,17716
25000,22,1,2,10895
25000,23,1,2,7128
25000,0,2,1,12181
25000,1,2,1,11333
25000,2,2,1,11175
25000,3,2,1,12474
25000,4,2,1,14384
25000,5,2,1,16953
25000,6,2,1,19817
25000,7,2,1,34036
25000,8,2,1,37096
25000,9,2,1,44561
25000,10,2,1,46035
25000,11,2,1,43149
25000,12,2,1,38347
25000,13,2,1,39157
25000,14,2,1,39219
25000,15,2,1,37588
25000,16,2,1,33709
25000,17,2,1,28462
25000,18,2,1,23746
25000,19,2,1,16337
25000,20,2,1,17010
25000,21,2,1,19427
25000,22,2,1,19771
25000,23,2,1,16813
25000,0,2,2,16698
25000,1,2,2,17321
25000,2,2,2,19792
25000,3,2,2,20813
25000,4,2,2,20911
25000,5,2,2,21024
25000,6,2,2,19317
25000,7,2,2,31416
25000,8,2,2,35647
25000,9,2,2,43357
25000,10,2,2,46021
25000,11,2,2,43522
25000,12,2,2,37341
25000,13,2,2,38768
25000,14,2,2,39896
25000,15,2,2,38064
25000,16,2,2,32839
25000,17,2,2,26545
25000,18,2,2,21428
25000,19,2,2,12822
25000,20,2,2,12356
25000,21,2,2,13281
25000,22,2,2,15522
25000,23,2,2,20202
