pref_code,hour,vehicle_type,direction,traffic_volume
32000,0,1,1,2352
32000,1,1,1,1812
32000,2,1,1,1751
32000,3,1,1,1371
32000,4,1,1,1822
32000,5,1,1,4545
32000,6,1,1,17889
32000,7,1,1,170664
32000,8,1,1,156461
32000,9,1,1,120699
32000,10,1,1,116713
32000,11,1,1,114733
32000,12,1,1,109184
32000,13,1,1,113607
32000,14,1,1,116102
32000,15,1,1,123036
32000,16,1,1,134345
32000,17,1,1,170274
32000,18,1,1,138501
32000,19,1,1,26367
32000,20,1,1,15911
32000,21,1,1,10429
32000,22,1,1,6287
32000,23,1,1,3653
32000,0,1,2,3150
32000,1,1,2,1681
32000,2,1,2,1490
32000,3,1,2,1366
32000,4,1,2,2002
32000,5,1,2,4656
32000,6,1,2,17864
32000,7,1,2,170824
32000,8,1,2,158644
32000,9,1,2,121003
32000,10,1,2,118884
32000,11,1,2,116873
32000,12,1,2,110436
32000,13,1,2,113698
32000,14,1,2,115170
32000,15,1,2,121175
32000,16,1,2,130603
32000,17,1,2,167050
32000,18,1,2,137751
32000,19,1,2,25993
32000,20,1,2,15466
32000,21,1,2,10049
32000,22,1,2,6177
32000,23,1,2,3688
32000,0,2,1,1189
32000,1,2,1,1100
32000,2,2,1,1188
32000,3,2,1,1260
32000,4,2,1,1519
32000,5,2,1,1946
32000,6,2,1,2857
32000,7,2,1,9901
32000,8,2,1,13126
32000,9,2,1,15009
32000,10,2,1,14409
32000,11,2,1,13491
32000,12,2,1,9757
32000,13,2,1,12046
32000,14,2,1,13024
32000,15,2,1,12552
32000,16,2,1,11387
32000,17,2,1,8225
32000,18,2,1,6041
32000,19,2,1,2388
32000,20,2,1,1674
32000,21,2,1,1449
32000,22,2,1,1426
32000,23,2,1,1217
32000,0,2,2,1325
32000,1,2,2,1211
32000,2,2,2,1461
32000,3,2,2,1522
32000,4,2,2,1768
32000,5,2,2,2544
32000,6,2,2,3616
32000,7,2,2,10739
32000,8,2,2,13692
32000,9,2,2,14638
32000,10,2,2,14308
32000,11,2,2,13174
32000,12,2,2,9559
32000,13,2,2,12088
32000,14,2,2,12512
32000,15,2,2,11613
32000,16,2,2,10481
32000,17,2,2,7454
32000,18,2,2,4897
32000,19,2,2,1826
32000,20,2,2,1569
32000,21,2,2,1375
32000,22,2,2,1171
32000,23,2,2,1117
