pref_code,hour,vehicle_type,direction,traffic_volume
6000,0,1,1,1658
6000,1,1,1,1182
6000,2,1,1,883
6000,3,1,1,836
6000,4,1,1,1393
6000,5,1,1,3591
6000,6,1,1,15218
6000,7,1,1,201947
6000,8,1,1,171618
6000,9,1,1,129949
6000,10,1,1,131340
6000,11,1,1,129670
6000,12,1,1,121774
6000,13,1,1,129389
6000,14,1,1,132723
6000,15,1,1,140638
6000,16,1,1,147685
6000,17,1,1,192661
6000,18,1,1,154798
6000,19,1,1,19657
6000,20,1,1,11798
6000,21,1,1,7350
6000,22,1,1,4448
6000,23,1,1,2569
6000,0,1,2,1774
6000,1,1,2,1348
6000,2,1,2,1075
6000,3,1,2,1096
6000,4,1,2,1674
6000,5,1,2,3580
6000,6,1,2,14734
6000,7,1,2,202291
6000,8,1,2,168326
6000,9,1,2,131105
6000,10,1,2,134432
6000,11,1,2,131897
6000,12,1,2,123458
6000,13,1,2,128417
6000,14,1,2,131789
6000,15,1,2,138540
6000,16,1,2,146120
6000,17,1,2,190442
6000,18,1,2,158533
6000,19,1,2,18699
6000,20,1,2,11707
6000,21,1,2,7431
6000,22,1,2,4775
6000,23,1,2,2760
6000,0,2,1,1037
6000,1,2,1,1028
6000,2,2,1,1017
6000,3,2,1,1247
6000,4,2,1,1537
6000,5,2,1,2072
6000,6,2,1,3520
6000,7,2,1,13558
6000,8,2,1,18045
6000,9,2,1,21200
6000,10,2,1,21946
6000,11,2,1,20139
6000,12,2,1,14478
6000,13,2,1,18916
6000,14,2,1,20243
6000,15,2,1,18584
6000,16,2,1,17227
6000,17,2,1,11713
6000,18,2,1,7888
6000,19,2,1,2901
6000,20,2,1,2366
6000,21,2,1,1721
6000,22,2,1,1511
6000,23,2,1,1121
6000,0,2,2,1582
6000,1,2,2,1783
6000,2,2,2,1925
6000,3,2,2,2080
6000,4,2,2,2482
6000,5,2,2,2843
6000,6,2,2,4323
6000,7,2,2,15542
6000,8,2,2,19048
6000,9,2,2,20832
6000,10,2,2,20796
6000,11,2,2,18490
6000,12,2,2,12623
6000,13,2,2,17558
6000,14,2,2,18119
6000,15,2,2,17356
6000,16,2,2,15103
6000,17,2,2,9974
6000,18,2,2,6678
6000,19,2,2,2117
6000,20,2,2,1640
6000,21,2,2,1464
6000,22,2,2,1434
6000,23,2,2,1408
