pref_code,hour,vehicle_type,direction,traffic_volume
41000,0,1,1,2535
41000,1,1,1,1829
41000,2,1,1,1346
41000,3,1,1,1243
41000,4,1,1,1886
41000,5,1,1,4352
41000,6,1,1,16477
41000,7,1,1,165408
41000,8,1,1,139223
41000,9,1,1,112265
41000,10,1,1,114016
41000,11,1,1,111685
41000,12,1,1,108015
41000,13,1,1,111503
41000,14,1,1,114529
41000,15,1,1,124173
41000,16,1,1,136982
41000,17,1,1,173225
41000,18,1,1,149165
41000,19,1,1,23708
41000,20,1,1,15145
41000,21,1,1,9886
41000,22,1,1,6469
41000,23,1,1,3657
41000,0,1,2,2537
41000,1,1,2,1810
41000,2,1,2,1382
41000,3,1,2,1358
41000,4,1,2,2003
41000,5,1,2,4859
41000,6,1,2,18241
41000,7,1,2,173940
41000,8,1,2,145646
41000,9,1,2,117453
41000,10,1,2,115442
41000,11,1,2,114451
41000,12,1,2,110101
41000,13,1,2,110318
41000,14,1,2,111837
41000,15,1,2,121061
41000,16,1,2,130150
41000,17,1,2,162968
41000,18,1,2,144304
41000,19,1,2,21970
41000,20,1,2,14686
41000,21,1,2,10193
41000,22,1,2,6914
41000,23,1,2,3973
41000,0,2,1,1401
41000,1,2,1,1350
41000,2,2,1,1298
41000,3,2,1,1471
41000,4,2,1,2085
41000,5,2,1,2736
41000,6,2,1,3682
41000,7,2,1,14848
41000,8,2,1,18967
41000,9,2,1,22699
41000,10,2,1,23553
41000,11,2,1,22357
41000,12,2,1,17743
41000,13,2,1,18854
41000,14,2,1,19348
41000,15,2,1,18208
41000,16,2,1,16290
41000,17,2,1,12388
41000,18,2,1,8565
41000,19,2,1,3165
41000,20,2,1,2451
41000,21,2,1,1938
41000,22,2,1,1822
41000,23,2,1,1511
41000,0,2,2,2217
41000,1,2,2,2128
41000,2,2,2,2329
41000,3,2,2,2834
41000,4,2,2,3596
41000,5,2,2,5004
41000,6,2,2,6790
41000,7,2,2,17898
41000,8,2,2,19589
41000,9,2,2,21373
41000,10,2,2,21712
41000,11,2,2,20559
41000,12,2,2,16678
41000,13,2,2,17813
41000,14,2,2,18040
41000,15,2,2,16610
41000,16,2,2,14687
41000,17,2,2,11047
41000,18,2,2,7414
41000,19,2,2,2514
41000,20,2,2,2164
41000,21,2,2,1707
41000,22,2,2,1767
41000,23,2,2,2288
