pref_code,hour,vehicle_type,direction,traffic_volume
4000,0,1,1,3961
4000,1,1,1,3067
4000,2,1,1,2678
4000,3,1,1,3027
4000,4,1,1,4919
4000,5,1,1,12845
4000,6,1,1,50457
4000,7,1,1,353116
4000,8,1,1,292242
4000,9,1,1,239827
4000,10,1,1,235755
4000,11,1,1,233169
4000,12,1,1,224580
4000,13,1,1,230433
4000,14,1,1,244574
4000,15,1,1,264416
4000,16,1,1,282169
4000,17,1,1,339118
4000,18,1,1,285859
4000,19,1,1,44005
4000,20,1,1,27269
4000,21,1,1,17623
4000,22,1,1,10071
4000,23,1,1,6089
4000,0,1,2,4457
4000,1,1,2,3284
4000,2,1,2,2894
4000,3,1,2,3365
4000,4,1,2,4758
4000,5,1,2,11960
4000,6,1,2,46994
4000,7,1,2,349799
4000,8,1,2,290427
4000,9,1,2,240419
4000,10,1,2,238155
4000,11,1,2,236726
4000,12,1,2,225707
4000,13,1,2,231335
4000,14,1,2,240646
4000,15,1,2,252909
4000,16,1,2,272396
4000,17,1,2,331940
4000,18,1,2,285486
4000,19,1,2,43470
4000,20,1,2,27667
4000,21,1,2,18334
4000,22,1,2,11149
4000,23,1,2,6877
4000,0,2,1,5891
4000,1,2,1,5247
4000,2,2,1,4825
4000,3,2,1,4766
4000,4,2,1,6130
4000,5,2,1,8185
4000,6,2,1,12032
4000,7,2,1,38447
4000,8,2,1,48469
4000,9,2,1,56974
4000,10,2,1,58492
4000,11,2,1,54446
4000,12,2,1,43847
4000,13,2,1,50459
4000,14,2,1,52603
4000,15,2,1,48909
4000,16,2,1,43125
4000,17,2,1,32952
4000,18,2,1,23151
4000,19,2,1,11285
4000,20,2,1,9545
4000,21,2,1,8029
4000,22,2,1,6956
4000,23,2,1,6716
4000,0,2,2,9775
4000,1,2,2,10212
4000,2,2,2,10867
4000,3,2,2,11138
4000,4,2,2,11616
4000,5,2,2,14456
4000,6,2,2,18235
4000,7,2,2,42716
4000,8,2,2,48012
4000,9,2,2,53870
4000,10,2,2,54056
4000,11,2,2,49903
4000,12,2,2,37705
4000,13,2,2,43392
4000,14,2,2,45233
4000,15,2,2,43423
4000,16,2,2,38625
4000,17,2,2,28710
4000,18,2,2,21143
4000,19,2,2,9574
4000,20,2,2,9362
4000,21,2,2,8622
4000,22,2,2,8677
4000,23,2,2,10385
