pref_code,hour,vehicle_type,direction,traffic_volume
14000,0,1,1,31285
14000,1,1,1,27625
14000,2,1,1,22440
14000,3,1,1,24069
14000,4,1,1,40157
14000,5,1,1,119975
14000,6,1,1,259947
14000,7,1,1,696043
14000,8,1,1,640386
14000,9,1,1,549158
14000,10,1,1,529426
14000,11,1,1,533557
14000,12,1,1,527843
14000,13,1,1,539198
14000,14,1,1,571505
14000,15,1,1,609417
14000,16,1,1,643929
14000,17,1,1,693111
14000,18,1,1,616618
14000,19,1,1,166471
14000,20,1,1,122283
14000,21,1,1,89548
14000,22,1,1,61421
14000,23,1,1,41162
14000,0,1,2,34389
14000,1,1,2,26806
14000,2,1,2,22151
14000,3,1,2,22304
14000,4,1,2,31727
14000,5,1,2,75776
14000,6,1,2,193474
14000,7,1,2,637804
14000,8,1,2,613805
14000,9,1,2,543381
14000,10,1,2,538497
14000,11,1,2,539917
14000,12,1,2,527363
14000,13,1,2,536009
14000,14,1,2,556032
14000,15,1,2,588118
14000,16,1,2,632020
14000,17,1,2,706795
14000,18,1,2,670906
14000,19,1,2,207792
14000,20,1,2,149747
14000,21,1,2,108414
14000,22,1,2,73437
14000,23,1,2,50249
14000,0,2,1,32871
14000,1,2,1,37286
14000,2,2,1,35383
14000,3,2,1,40814
14000,4,2,1,47213
14000,5,2,1,58347
14000,6,2,1,57384
14000,7,2,1,111261
14000,8,2,1,124599
14000,9,2,1,151565
14000,10,2,1,152126
14000,11,2,1,139854
14000,12,2,1,117275
14000,13,2,1,118815
14000,14,2,1,123154
14000,15,2,1,111631
14000,16,2,1,97465
14000,17,2,1,78374
14000,18,2,1,65820
14000,19,2,1,31010
14000,20,2,1,27788
14000,21,2,1,27906
14000,22,2,1,26562
14000,23,2,1,27571
14000,0,2,2,24067
14000,1,2,2,22903
14000,2,2,2,23257
14000,3,2,2,28639
14000,4,2,2,34354
14000,5,2,2,48164
14000,6,2,2,55801
14000,7,2,2,109374
14000,8,2,2,121564
14000,9,2,2,145887
14000,10,2,2,150814
14000,11,2,2,141869
14000,12,2,2,128173
14000,13,2,2,127927
14000,14,2,2,129702
14000,15,2,2,120836
14000,16,2,2,108552
14000,17,2,2,88314
14000,18,2,2,71970
14000,19,2,2,35820
14000,20,2,2,35547
14000,21,2,2,35246
14000,22,2,2,32417
14000,23,2,2,28372
