pref_code,hour,vehicle_type,direction,traffic_volume
16000,0,1,1,1884
16000,1,1,1,1403
16000,2,1,1,1181
16000,3,1,1,1106
16000,4,1,1,1741
16000,5,1,1,3668
16000,6,1,1,15674
16000,7,1,1,222477
16000,8,1,1,176687
16000,9,1,1,132152
16000,10,1,1,130096
16000,11,1,1,128692
16000,12,1,1,127569
16000,13,1,1,129016
16000,14,1,1,132123
16000,15,1,1,142555
16000,16,1,1,155951
16000,17,1,1,205566
16000,18,1,1,174193
16000,19,1,1,16245
16000,20,1,1,10240
16000,21,1,1,7087
16000,22,1,1,4536
16000,23,1,1,2680
16000,0,1,2,1799
16000,1,1,2,1508
16000,2,1,2,1097
16000,3,1,2,1020
16000,4,1,2,1403
16000,5,1,2,3049
16000,6,1,2,14129
16000,7,1,2,222390
16000,8,1,2,175763
16000,9,1,2,131473
16000,10,1,2,129976
16000,11,1,2,127968
16000,12,1,2,126183
16000,13,1,2,128435
16000,14,1,2,133934
16000,15,1,2,145104
16000,16,1,2,158523
16000,17,1,2,211114
16000,18,1,2,174065
16000,19,1,2,16275
16000,20,1,2,10244
16000,21,1,2,6614
16000,22,1,2,4064
16000,23,1,2,2762
16000,0,2,1,4507
16000,1,2,1,4938
16000,2,2,1,4843
16000,3,2,1,4076
16000,4,2,1,3769
16000,5,2,1,4074
16000,6,2,1,5481
16000,7,2,1,17706
16000,8,2,1,23171
16000,9,2,1,27238
16000,10,2,1,26655
16000,11,2,1,23628
16000,12,2,1,17373
16000,13,2,1,21777
16000,14,2,1,23291
16000,15,2,1,21815
16000,16,2,1,19573
16000,17,2,1,13909
16000,18,2,1,9726
16000,19,2,1,4942
16000,20,2,1,5248
16000,21,2,1,5480
16000,22,2,1,5026
16000,23,2,1,4511
16000,0,2,2,4526
16000,1,2,2,4167
16000,2,2,2,4328
16000,3,2,2,5385
16000,4,2,2,4912
16000,5,2,2,5475
16000,6,2,2,6084
16000,7,2,2,17573
16000,8,2,2,23134
16000,9,2,2,26609
16000,10,2,2,25677
16000,11,2,2,23717
16000,12,2,2,17781
16000,13,2,2,21618
16000,14,2,2,23465
16000,15,2,2,22493
16000,16,2,2,19372
16000,17,2,2,13391
16000,18,2,2,9256
16000,19,2,2,5217
16000,20,2,2,5493
16000,21,2,2,5260
16000,22,2,2,5538
16000,23,2,2,5825
