pref_code,hour,vehicle_type,direction,traffic_volume
34000,0,1,1,21060
34000,1,1,1,15752
34000,2,1,1,13090
34000,3,1,1,13130
34000,4,1,1,19629
34000,5,1,1,51185
34000,6,1,1,176660
34000,7,1,1,492998
34000,8,1,1,446125
34000,9,1,1,393666
34000,10,1,1,381397
34000,11,1,1,370469
34000,12,1,1,358806
34000,13,1,1,364164
34000,14,1,1,378378
34000,15,1,1,401118
34000,16,1,1,431135
34000,17,1,1,500181
34000,18,1,1,451782
34000,19,1,1,179165
34000,20,1,1,117694
34000,21,1,1,82059
34000,22,1,1,52019
34000,23,1,1,32359
34000,0,1,2,23240
34000,1,1,2,16664
34000,2,1,2,13125
34000,3,1,2,13101
34000,4,1,2,17928
34000,5,1,2,43952
34000,6,1,2,150839
34000,7,1,2,480289
34000,8,1,2,440615
34000,9,1,2,378054
34000,10,1,2,372720
34000,11,1,2,367124
34000,12,1,2,353893
34000,13,1,2,361120
34000,14,1,2,371529
34000,15,1,2,393733
34000,16,1,2,421892
34000,17,1,2,491659
34000,18,1,2,454318
34000,19,1,2,197584
34000,20,1,2,130605
34000,21,1,2,92810
34000,22,1,2,60526
34000,23,1,2,36041
34000,0,2,1,22485
34000,1,2,1,21064
34000,2,2,1,20602
34000,3,2,1,19473
34000,4,2,1,21337
34000,5,2,1,24751
34000,6,2,1,27166
34000,7,2,1,45181
34000,8,2,1,60439
34000,9,2,1,73776
34000,10,2,1,73450
34000,11,2,1,69168
34000,12,2,1,60001
34000,13,2,1,64107
34000,14,2,1,66060
34000,15,2,1,61786
34000,16,2,1,54288
34000,17,2,1,42883
34000,18,2,1,36611
34000,19,2,1,26494
34000,20,2,1,26233
34000,21,2,1,25895
34000,22,2,1,24108
34000,23,2,1,23451
34000,0,2,2,24184
34000,1,2,2,22798
34000,2,2,2,21475
34000,3,2,2,21669
34000,4,2,2,24199
34000,5,2,2,28931
34000,6,2,2,33926
34000,7,2,2,53073
34000,8,2,2,64150
34000,9,2,2,71738
34000,10,2,2,70931
34000,11,2,2,66358
34000,12,2,2,55967
34000,13,2,2,59914
34000,14,2,2,60792
34000,15,2,2,56455
34000,16,2,2,50756
34000,17,2,2,40837
34000,18,2,2,33494
34000,19,2,2,23601
34000,20,2,2,24546
34000,21,2,2,24165
34000,22,2,2,24544
34000,23,2,2,25699
