pref_code,hour,vehicle_type,direction,traffic_volume
20000,0,1,1,5375
20000,1,1,1,4119
20000,2,1,1,3487
20000,3,1,1,3808
20000,4,1,1,5334
20000,5,1,1,11725
20000,6,1,1,42903
20000,7,1,1,334591
20000,8,1,1,289021
20000,9,1,1,236629
20000,10,1,1,236346
20000,11,1,1,235863
20000,12,1,1,226394
20000,13,1,1,230522
20000,14,1,1,239090
20000,15,1,1,256774
20000,16,1,1,269881
20000,17,1,1,318513
20000,18,1,1,272673
20000,19,1,1,54485
20000,20,1,1,35235
20000,21,1,1,23703
20000,22,1,1,14360
20000,23,1,1,8570
20000,0,1,2,5772
20000,1,1,2,4285
20000,2,1,2,3799
20000,3,1,2,4066
20000,4,1,2,5618
20000,5,1,2,11372
20000,6,1,2,40698
20000,7,1,2,332234
20000,8,1,2,284665
20000,9,1,2,235382
20000,10,1,2,240621
20000,11,1,2,239332
20000,12,1,2,229239
20000,13,1,2,231109
20000,14,1,2,240779
20000,15,1,2,261602
20000,16,1,2,274189
20000,17,1,2,320371
20000,18,1,2,274084
20000,19,1,2,55827
20000,20,1,2,35675
20000,21,1,2,23815
20000,22,1,2,14744
20000,23,1,2,8741
20000,0,2,1,13676
20000,1,2,1,11493
20000,2,2,1,9703
20000,3,2,1,8999
20000,4,2,1,8658
20000,5,2,1,9821
20000,6,2,1,11624
20000,7,2,1,27753
20000,8,2,1,34752
20000,9,2,1,38316
20000,10,2,1,38390
20000,11,2,1,35350
20000,12,2,1,28560
20000,13,2,1,32270
20000,14,2,1,33551
20000,15,2,1,32313
20000,16,2,1,30450
20000,17,2,1,24285
20000,18,2,1,20494
20000,19,2,1,12851
20000,20,2,1,14167
20000,21,2,1,14615
20000,22,2,1,14858
20000,23,2,1,15448
20000,0,2,2,13779
20000,1,2,2,12286
20000,2,2,2,11013
20000,3,2,2,9736
20000,4,2,2,9851
20000,5,2,2,10573
20000,6,2,2,12444
20000,7,2,2,27091
20000,8,2,2,32060
20000,9,2,2,35880
20000,10,2,2,36106
20000,11,2,2,33904
20000,12,2,2,29059
20000,13,2,2,33668
20000,14,2,2,34131
20000,15,2,2,33433
20000,16,2,2,30986
20000,17,2,2,24333
20000,18,2,2,20090
20000,19,2,2,11946
20000,20,2,2,12512
20000,21,2,2,13168
20000,22,2,2,13292
20000,23,2,2,13928
