pref_code,hour,vehicle_type,direction,traffic_volume
26000,0,1,1,11430
26000,1,1,1,7954
26000,2,1,1,6474
26000,3,1,1,6464
26000,4,1,1,9383
26000,5,1,1,21183
26000,6,1,1,78014
26000,7,1,1,409144
26000,8,1,1,390386
26000,9,1,1,325826
26000,10,1,1,316875
26000,11,1,1,313973
26000,12,1,1,301452
26000,13,1,1,308466
26000,14,1,1,316744
26000,15,1,1,336646
26000,16,1,1,356043
26000,17,1,1,400548
26000,18,1,1,358839
26000,19,1,1,78763
26000,20,1,1,57064
26000,21,1,1,40172
26000,22,1,1,26624
26000,23,1,1,16349
26000,0,1,2,12190
26000,1,1,2,8941
26000,2,1,2,6900
26000,3,1,2,7140
26000,4,1,2,9379
26000,5,1,2,19211
26000,6,1,2,63763
26000,7,1,2,379269
26000,8,1,2,373238
26000,9,1,2,318862
26000,10,1,2,317375
26000,11,1,2,313507
26000,12,1,2,304956
26000,13,1,2,311386
26000,14,1,2,327395
26000,15,1,2,346060
26000,16,1,2,369010
26000,17,1,2,423669
26000,18,1,2,376767
26000,19,1,2,83445
26000,20,1,2,60758
26000,21,1,2,42351
26000,22,1,2,27354
26000,23,1,2,17571
26000,0,2,1,9748
26000,1,2,1,10826
26000,2,2,1,10398
26000,3,2,1,12342
26000,4,2,1,13955
26000,5,2,1,19278
26000,6,2,1,25608
26000,7,2,1,55636
26000,8,2,1,63052
26000,9,2,1,70607
26000,10,2,1,70205
26000,11,2,1,65481
26000,12,2,1,57331
26000,13,2,1,60008
26000,14,2,1,60825
26000,15,2,1,57878
26000,16,2,1,51256
26000,17,2,1,42714
26000,18,2,1,33755
26000,19,2,1,16558
26000,20,2,1,17665
26000,21,2,1,17568
26000,22,2,1,15105
26000,23,2,1,12857
26000,0,2,2,14601
26000,1,2,2,14086
26000,2,2,2,15749
26000,3,2,2,18264
26000,4,2,2,19215
26000,5,2,2,23071
26000,6,2,2,27291
26000,7,2,2,56152
26000,8,2,2,62616
26000,9,2,2,72087
26000,10,2,2,72038
26000,11,2,2,65959
26000,12,2,2,56748
26000,13,2,2,60665
26000,14,2,2,61307
26000,15,2,2,58666
26000,16,2,2,50652
26000,17,2,2,39850
26000,18,2,2,30897
26000,19,2,2,13343
26000,20,2,2,12108
26000,21,2,2,12494
26000,22,2,2,12067
26000,23,2,2,15937
