pref_code,hour,vehicle_type,direction,traffic_volume
11000,0,1,1,21047
11000,1,1,1,15791
11000,2,1,1,13766
11000,3,1,1,14856
11000,4,1,1,26239
11000,5,1,1,94462
11000,6,1,1,162829
11000,7,1,1,518530
11000,8,1,1,467736
11000,9,1,1,379553
11000,10,1,1,375793
11000,11,1,1,380353
11000,12,1,1,383253
11000,13,1,1,392482
11000,14,1,1,423752
11000,15,1,1,470368
11000,16,1,1,501951
11000,17,1,1,552906
11000,18,1,1,509858
11000,19,1,1,153384
11000,20,1,1,105118
11000,21,1,1,70768
11000,22,1,1,45682
11000,23,1,1,30234
11000,0,1,2,23338
11000,1,1,2,16646
11000,2,1,2,14501
11000,3,1,2,16303
11000,4,1,2,25047
11000,5,1,2,81591
11000,6,1,2,178046
11000,7,1,2,543914
11000,8,1,2,485964
11000,9,1,2,403753
11000,10,1,2,398421
11000,11,1,2,400195
11000,12,1,2,390537
11000,13,1,2,384207
11000,14,1,2,400347
11000,15,1,2,427470
11000,16,1,2,461669
11000,17,1,2,529891
11000,18,1,2,505145
11000,19,1,2,154108
11000,20,1,2,107945
11000,21,1,2,74084
11000,22,1,2,49271
11000,23,1,2,33431
11000,0,2,1,28351
11000,1,2,1,26493
11000,2,2,1,29772
11000,3,2,1,36611
11000,4,2,1,47875
11000,5,2,1,60481
11000,6,2,1,57713
11000,7,2,1,99059
11000,8,2,1,114218
11000,9,2,1,144527
11000,10,2,1,152670
11000,11,2,1,144997
11000,12,2,1,129852
11000,13,2,1,123071
11000,14,2,1,124642
11000,15,2,1,115822
11000,16,2,1,103169
11000,17,2,1,83786
11000,18,2,1,68278
11000,19,2,1,38881
11000,20,2,1,37207
11000,21,2,1,32896
11000,22,2,1,28602
11000,23,2,1,27627
11000,0,2,2,30807
11000,1,2,2,27725
11000,2,2,2,31462
11000,3,2,2,37371
11000,4,2,2,45905
11000,5,2,2,61575
11000,6,2,2,66576
11000,7,2,2,110207
11000,8,2,2,119347
11000,9,2,2,148559
11000,10,2,2,157097
11000,11,2,2,148957
11000,12,2,2,134382
11000,13,2,2,126720
11000,14,2,2,126339
11000,15,2,2,116130
11000,16,2,2,98942
11000,17,2,2,78798
11000,18,2,2,62085
11000,19,2,2,33450
11000,20,2,2,32010
11000,21,2,2,31487
11000,22,2,2,30833
11000,23,2,2,31855
