pref_code,hour,vehicle_type,direction,traffic_volume
22000,0,1,1,14452
22000,1,1,1,10240
22000,2,1,1,9594
22000,3,1,1,9711
22000,4,1,1,13084
22000,5,1,1,30062
22000,6,1,1,102375
22000,7,1,1,490488
22000,8,1,1,410494
22000,9,1,1,332782
22000,10,1,1,332288
22000,11,1,1,334681
22000,12,1,1,326410
22000,13,1,1,331282
22000,14,1,1,347149
22000,15,1,1,366234
22000,16,1,1,391533
22000,17,1,1,466366
22000,18,1,1,395151
22000,19,1,1,101935
22000,20,1,1,69689
22000,21,1,1,49015
22000,22,1,1,32438
22000,23,1,1,20282
22000,0,1,2,13905
22000,1,1,2,10029
22000,2,1,2,9231
22000,3,1,2,9095
22000,4,1,2,13608
22000,5,1,2,29307
22000,6,1,2,99698
22000,7,1,2,491685
22000,8,1,2,409839
22000,9,1,2,330509
22000,10,1,2,333409
22000,11,1,2,330413
22000,12,1,2,322977
22000,13,1,2,328458
22000,14,1,2,345656
22000,15,1,2,370653
22000,16,1,2,398201
22000,17,1,2,472546
22000,18,1,2,394509
22000,19,1,2,102460
22000,20,1,2,69966
22000,21,1,2,49145
22000,22,1,2,32876
22000,23,1,2,20345
22000,0,2,1,46449
22000,1,2,1,44575
22000,2,2,1,40338
22000,3,2,1,35528
22000,4,2,1,32172
22000,5,2,1,31395
22000,6,2,1,33563
22000,7,2,1,54963
22000,8,2,1,66834
22000,9,2,1,76348
22000,10,2,1,78117
22000,11,2,1,72174
22000,12,2,1,61676
22000,13,2,1,68992
22000,14,2,1,69280
22000,15,2,1,64719
22000,16,2,1,56792
22000,17,2,1,44196
22000,18,2,1,37153
22000,19,2,1,29946
22000,20,2,1,34925
22000,21,2,1,40761
22000,22,2,1,47096
22000,23,2,1,48195
22000,0,2,2,40517
22000,1,2,2,34996
22000,2,2,2,31238
22000,3,2,2,26531
22000,4,2,2,25889
22000,5,2,2,27744
22000,6,2,2,30645
22000,7,2,2,52111
22000,8,2,2,66316
22000,9,2,2,77665
22000,10,2,2,77644
22000,11,2,2,72960
22000,12,2,2,63282
22000,13,2,2,70986
22000,14,2,2,73322
22000,15,2,2,69950
22000,16,2,2,62889
22000,17,2,2,51430
22000,18,2,2,45394
22000,19,2,2,37621
22000,20,2,2,40078
22000,21,2,2,43030
22000,22,2,2,45702
22000,23,2,2,46678
