pref_code,hour,vehicle_type,direction,traffic_volume
3000,0,1,1,2233
3000,1,1,1,1743
3000,2,1,1,1779
3000,3,1,1,1982
3000,4,1,1,2871
3000,5,1,1,6799
3000,6,1,1,24022
3000,7,1,1,170816
3000,8,1,1,146148
3000,9,1,1,117867
3000,10,1,1,117964
3000,11,1,1,117355
3000,12,1,1,109227
3000,13,1,1,114481
3000,14,1,1,121236
3000,15,1,1,130483
3000,16,1,1,140413
3000,17,1,1,172993
3000,18,1,1,134852
3000,19,1,1,25532
3000,20,1,1,15072
3000,21,1,1,9506
3000,22,1,1,5946
3000,23,1,1,3608
3000,0,1,2,2405
3000,1,1,2,2029
3000,2,1,2,1780
3000,3,1,2,2099
3000,4,1,2,2961
3000,5,1,2,6717
3000,6,1,2,23890
3000,7,1,2,174745
3000,8,1,2,149545
3000,9,1,2,119914
3000,10,1,2,119382
3000,11,1,2,116556
3000,12,1,2,110310
3000,13,1,2,113812
3000,14,1,2,119443
3000,15,1,2,128754
3000,16,1,2,139078
3000,17,1,2,169398
3000,18,1,2,131934
3000,19,1,2,25606
3000,20,1,2,14710
3000,21,1,2,9802
3000,22,1,2,6255
3000,23,1,2,3726
3000,0,2,1,2743
3000,1,2,1,2546
3000,2,2,1,2357
3000,3,2,1,2495
3000,4,2,1,3157
3000,5,2,1,4687
3000,6,2,1,6776
3000,7,2,1,20199
3000,8,2,1,24774
3000,9,2,1,28167
3000,10,2,1,29335
3000,11,2,1,26916
3000,12,2,1,20792
3000,13,2,1,25398
3000,14,2,1,25900
3000,15,2,1,24061
3000,16,2,1,21566
3000,17,2,1,15073
3000,18,2,1,10492
3000,19,2,1,5392
3000,20,2,1,4763
3000,21,2,1,3777
3000,22,2,1,2917
3000,23,2,1,2720
3000,0,2,2,5162
3000,1,2,2,5581
3000,2,2,2,6391
3000,3,2,2,7264
3000,4,2,2,8568
3000,5,2,2,9936
3000,6,2,2,11397
3000,7,2,2,22316
3000,8,2,2,24327
3000,9,2,2,25336
3000,10,2,2,25068
3000,11,2,2,22538
3000,12,2,2,16385
3000,13,2,2,20702
3000,14,2,2,21945
3000,15,2,2,20704
3000,16,2,2,18174
3000,17,2,2,13529
3000,18,2,2,9846
3000,19,2,2,4917
3000,20,2,2,4455
3000,21,2,2,4725
3000,22,2,2,5052
3000,23,2,2,5627
