ìsìπï{åßéwíËésÉRÅ[Éh,åí ó í≤ç∏íPà ãÊä‘î‘çÜ,ìπòHéÌï ,òHê¸î‘çÜ,óﬂòaÇRîNìxí≤ç∏åí ó äœë™ÅEîÒäœë™ÇÃï ,å¬ï í≤ç∏äœë™íläàópÇÃï ,ÇPÇQÅEÇQÇSéûä‘äœë™ÇÃï ,åí ó äœë™îNåéì˙,ìVåÛ,è„ÇËÅEâ∫ÇËÇÃï ,é‘éÌãÊï™,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇUéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇUéûë‰,íãä‘ÇPÇQéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj,ÇQÇSéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj
10000,10,1,1800,1,0,2,20210929,2,1,1,90,102,142,169,163,164,210,263,260,292,268,206,128,92,55,42,29,13,19,21,10,20,29,46,2329,2833
10000,10,1,1800,1,0,2,20210929,2,1,2,67,84,144,148,186,176,164,155,150,153,191,218,203,205,219,228,196,122,99,86,74,65,53,58,1836,3444
10000,10,1,1800,1,0,2,20210929,2,2,1,163,180,198,176,143,142,131,165,179,177,168,125,101,73,41,44,38,28,32,26,44,43,58,81,1947,2556
10000,10,1,1800,1,0,2,20210929,2,2,2,89,62,90,78,85,107,112,119,103,160,156,131,147,184,155,176,226,223,189,191,140,162,123,113,1292,3321
10000,20,1,1040,1,0,2,20210929,2,1,1,820,769,681,730,793,1031,1315,1894,2601,2642,2330,1586,1078,681,392,230,156,99,74,63,52,102,294,618,17192,21031
10000,20,1,1040,1,0,2,20210929,2,1,2,505,622,780,930,847,721,674,754,772,777,637,568,534,527,478,393,517,452,463,442,453,503,446,457,8587,14252
10000,20,1,1040,1,0,2,20210929,2,2,1,1968,1677,1442,1390,1454,1131,907,855,841,903,933,764,589,464,322,209,173,111,64,80,115,170,511,1628,14265,18701
10000,20,1,1040,1,0,2,20210929,2,2,2,727,634,754,821,795,817,673,618,626,528,485,436,450,517,522,587,562,461,390,410,445,547,655,703,7914,14163
10000,30,1,1040,1,0,2,20210929,2,1,1,689,682,616,634,716,996,1216,1830,2414,2465,2123,1371,949,586,339,190,149,97,60,49,46,88,221,507,15752,19033
10000,30,1,1040,1,0,2,20210929,2,1,2,428,534,693,798,732,622,607,678,719,646,586,484,464,471,432,373,492,399,438,416,408,455,386,420,7527,12681
10000,30,1,1040,1,0,2,20210929,2,2,1,1809,1534,1294,1257,1324,1053,832,736,783,774,814,678,512,394,283,175,142,108,66,68,95,169,435,1438,12888,16773
10000,30,1,1040,1,0,2,20210929,2,2,2,642,597,637,711,692,685,593,542,564,505,425,408,398,504,475,553,544,423,351,378,403,512,583,665,7001,12790
10000,40,1,1460,1,0,2,20210929,2,1,1,1261,1117,788,703,697,742,672,723,843,881,1162,1083,643,310,208,135,64,47,38,39,31,60,131,558,10672,12936
10000,40,1,1460,1,0,2,20210929,2,1,2,324,385,385,405,385,372,346,382,379,374,343,291,253,221,232,120,158,127,155,147,196,180,206,266,4371,6632
10000,40,1,1460,1,0,2,20210929,2,2,1,1392,1213,796,769,795,711,768,775,841,965,1089,821,550,340,189,88,68,46,35,25,25,54,109,592,10935,13056
10000,40,1,1460,1,0,2,20210929,2,2,2,432,375,415,401,434,374,350,352,319,299,244,208,175,133,135,145,214,231,178,182,216,251,266,321,4203,6650
10000,50,1,1460,1,0,2,20210929,2,1,1,1225,1089,779,722,694,754,641,714,819,902,1145,1069,643,293,199,137,62,43,34,39,29,55,122,516,10553,12725
10000,50,1,1460,1,0,2,20210929,2,1,2,304,358,358,389,383,374,333,382,385,362,349,287,244,200,181,106,145,119,136,129,190,175,195,266,4264,6350
10000,50,1,1460,1,0,2,20210929,2,2,1,1326,1149,767,761,780,728,748,786,849,926,1055,790,547,345,186,86,69,45,32,24,26,54,111,595,10665,12785
10000,50,1,1460,1,0,2,20210929,2,2,2,420,368,391,393,412,389,347,336,283,285,236,203,168,131,131,113,189,180,170,177,207,230,267,305,4063,6331
